,SÐ,S+,DL
Wavelength [nm],Ee [W/(sqm*nm)],Ee [W/(sqm*nm)],Ee [W/(sqm*nm)]
597,7.82E-04,3.92E-03,2.85E-06
598,8.73E-04,3.96E-03,3.34E-06
599,9.79E-04,4.00E-03,3.54E-06
600,1.09E-03,4.03E-03,3.63E-06
601,1.20E-03,4.10E-03,3.58E-06
602,1.34E-03,4.16E-03,3.61E-06
603,1.49E-03,4.20E-03,3.74E-06
604,1.65E-03,4.27E-03,3.76E-06
605,1.82E-03,4.34E-03,3.86E-06
606,2.03E-03,4.40E-03,4.40E-06
607,2.27E-03,4.50E-03,5.10E-06
608,2.52E-03,4.62E-03,5.96E-06
609,2.80E-03,4.73E-03,8.22E-06
610,3.09E-03,4.84E-03,1.06E-05
611,3.44E-03,4.96E-03,1.29E-05
612,3.82E-03,5.13E-03,1.36E-05
613,4.23E-03,5.34E-03,1.32E-05
614,4.70E-03,5.52E-03,1.19E-05
615,5.21E-03,5.73E-03,1.09E-05
616,5.77E-03,6.00E-03,1.06E-05
617,6.43E-03,6.34E-03,1.07E-05
618,7.15E-03,6.71E-03,1.11E-05
619,8.01E-03,7.06E-03,1.18E-05
620,8.88E-03,7.45E-03,1.26E-05
621,9.77E-03,7.89E-03,1.35E-05
622,1.08E-02,8.39E-03,1.47E-05
623,1.19E-02,8.91E-03,1.61E-05
624,1.31E-02,9.50E-03,1.80E-05
625,1.43E-02,1.01E-02,1.99E-05
626,1.57E-02,1.07E-02,2.20E-05
627,1.71E-02,1.14E-02,2.38E-05
628,1.85E-02,1.22E-02,2.60E-05
629,2.02E-02,1.30E-02,2.97E-05
630,2.19E-02,1.39E-02,3.29E-05
631,2.35E-02,1.48E-02,3.56E-05
632,2.53E-02,1.56E-02,3.67E-05
633,2.70E-02,1.63E-02,3.67E-05
634,2.86E-02,1.68E-02,3.46E-05
635,2.99E-02,1.69E-02,3.11E-05
636,3.10E-02,1.68E-02,2.69E-05
637,3.09E-02,1.60E-02,2.26E-05
638,3.04E-02,1.50E-02,1.87E-05
639,2.90E-02,1.36E-02,1.56E-05
640,2.68E-02,1.21E-02,1.27E-05
641,2.42E-02,1.05E-02,9.98E-06
642,2.12E-02,9.10E-03,8.37E-06
643,1.82E-02,7.82E-03,7.10E-06
644,1.52E-02,6.73E-03,6.24E-06
645,1.28E-02,5.86E-03,5.40E-06
646,1.06E-02,5.07E-03,4.56E-06
647,8.82E-03,4.48E-03,3.70E-06
648,7.30E-03,3.96E-03,3.15E-06
649,5.96E-03,3.49E-03,2.85E-06
650,5.02E-03,3.14E-03,2.36E-06
