"λ, nm",FL1,FL2*,FL3,FL4,FL5,FL6,FL7*,FL8
610,11.12,13.8,15.65,17.74,10.45,13.15,11.6,13.34
611,10.902,13.512,15.328,17.392,10.229999999999999,12.856,11.549999999999999,13.394
612,10.684,13.224,15.006,17.044,10.01,12.562,11.5,13.448
613,10.466,12.936,14.684,16.695999999999998,9.79,12.268,11.45,13.501999999999999
614,10.248,12.648,14.362,16.348,9.57,11.974,11.4,13.556
615,10.03,12.36,14.04,16.0,9.35,11.68,11.35,13.61
616,9.814,12.078,13.722,15.684,9.138,11.394,11.304,13.661999999999999
617,9.597999999999999,11.796,13.404,15.368,8.926,11.108,11.258,13.713999999999999
618,9.382,11.514,13.085999999999999,15.052,8.713999999999999,10.822,11.212,13.766
619,9.165999999999999,11.232,12.767999999999999,14.736,8.501999999999999,10.536,11.165999999999999,13.818
620,8.95,10.95,12.45,14.42,8.29,10.25,11.12,13.87
621,8.751999999999999,10.69,12.149999999999999,14.048,8.096,9.99,11.085999999999999,13.91
622,8.554,10.43,11.85,13.676,7.901999999999999,9.73,11.052,13.95
623,8.356,10.17,11.549999999999999,13.304,7.708,9.469999999999999,11.017999999999999,13.99
624,8.158,9.91,11.25,12.932,7.514,9.209999999999999,10.984,14.03
625,7.96,9.65,10.95,12.56,7.32,8.95,10.95,14.07
626,7.772,9.4,10.661999999999999,12.234,7.138,8.708,10.911999999999999,14.096
627,7.584,9.15,10.373999999999999,11.908,6.956,8.466,10.873999999999999,14.122
628,7.396,8.9,10.086,11.582,6.774,8.224,10.836,14.148
629,7.207999999999999,8.65,9.798,11.256,6.5920000000000005,7.982,10.798,14.174
630,7.02,8.4,9.51,10.93,6.41,7.74,10.76,14.2
631,6.856,8.184000000000001,9.262,10.648,6.2540000000000004,7.53,10.692,14.192
632,6.692,7.968,9.014,10.366,6.098,7.32,10.624,14.184
633,6.528,7.752000000000001,8.766,10.084,5.942,7.11,10.556,14.176
634,6.364,7.5360000000000005,8.517999999999999,9.802,5.786,6.9,10.488,14.168
635,6.2,7.32,8.27,9.52,5.63,6.69,10.42,14.16
636,6.0440000000000005,7.118,8.038,9.251999999999999,5.484,6.494000000000001,10.358,14.154
637,5.888,6.916,7.806,8.984,5.338,6.298,10.296,14.148
638,5.732,6.714,7.574,8.716,5.192,6.102,10.234,14.142000000000001
639,5.576,6.512,7.3420000000000005,8.448,5.046,5.906,10.171999999999999,14.136000000000001
640,5.42,6.31,7.11,8.18,4.9,5.71,10.11,14.13
641,5.282,6.1339999999999995,6.906000000000001,7.946,4.772,5.542,10.096,14.172
642,5.144,5.957999999999999,6.702,7.712,4.644,5.374,10.081999999999999,14.214
643,5.006,5.782,6.498,7.478,4.516,5.2059999999999995,10.068,14.256
644,4.868,5.606,6.294,7.244,4.388,5.038,10.053999999999998,14.298
645,4.73,5.43,6.09,7.01,4.26,4.87,10.04,14.34
646,4.614000000000001,5.279999999999999,5.9159999999999995,6.808,4.152,4.728,10.036,14.372
647,4.498,5.13,5.742,6.606,4.044,4.586,10.032,14.404
648,4.382000000000001,4.9799999999999995,5.568,6.404,3.936,4.444,10.027999999999999,14.436
649,4.266,4.83,5.394,6.202,3.8280000000000003,4.3020000000000005,10.024,14.468
650,4.15,4.68,5.22,6.0,3.72,4.16,10.02,14.5
651,4.048,4.548,5.066,5.822,3.6260000000000003,4.038,10.038,14.492
652,3.946,4.4159999999999995,4.912,5.644,3.532,3.916,10.056,14.484
653,3.8440000000000003,4.284,4.758,5.466,3.438,3.794,10.074,14.476
654,3.742,4.151999999999999,4.604,5.288,3.344,3.6719999999999997,10.091999999999999,14.468
655,3.64,4.02,4.45,5.11,3.25,3.55,10.11,14.46
656,3.552,3.9059999999999997,4.32,4.96,3.166,3.444,10.062,14.368
657,3.464,3.792,4.19,4.8100000000000005,3.082,3.338,10.014,14.276
658,3.3760000000000003,3.678,4.06,4.66,2.998,3.232,9.966,14.184000000000001
659,3.2880000000000003,3.564,3.9299999999999997,4.510000000000001,2.914,3.126,9.918,14.092
660,3.2,3.45,3.8,4.36,2.83,3.02,9.87,14.0
661,3.1220000000000003,3.3520000000000003,3.686,4.226,2.762,2.93,9.626,13.716
662,3.044,3.254,3.572,4.0920000000000005,2.694,2.84,9.382,13.432
663,2.966,3.156,3.458,3.958,2.6260000000000003,2.75,9.138,13.148
664,2.888,3.058,3.344,3.824,2.5580000000000003,2.6599999999999997,8.894,12.864
665,2.81,2.96,3.23,3.69,2.49,2.57,8.65,12.58
666,2.742,2.878,3.134,3.578,2.43,2.496,8.374,12.262
667,2.674,2.796,3.038,3.4659999999999997,2.37,2.422,8.098,11.944
