Wavelength [nm],Illuminant FL1,Illuminant FL2,Illuminant FL3,Illuminant FL4,Illuminant FL5,Illuminant FL6,Illuminant FL7,Illuminant FL8,Illuminant FL9,Illuminant FL10,Illuminant FL11,Illuminant FL12,Illuminant FL3.1,Illuminant FL3.2,Illuminant FL3.3,Illuminant FL3.4,Illuminant FL3.5,Illuminant FL3.6,Illuminant FL3.7,Illuminant FL3.8,Illuminant FL3.9,Illuminant FL3.10,Illuminant FL3.11,Illuminant FL3.12,Illuminant FL3.13,Illuminant FL3.14,Illuminant FL3.15,Illuminant LED-B1,Illuminant LED-B2,Illuminant LED-B3,Illuminant LED-B4,Illuminant LED-B5,Illuminant LED-BH1,Illuminant LED-RGB1,Illuminant LED-V1,Illuminant LED-V2,Illuminant HP1,Illuminant HP2,Illuminant HP3,Illuminant HP4,Illuminant HP5
620,8.95,10.95,12.45,14.42,8.29,10.25,11.12,13.87,14.47,12.09,13.18,14.67,71.92,63.44,42.61,96.89,80.14,70.15,58.63,54.19,53.37,18.57,51.66,108.53,91.36,83.59,433,20.23,18.72,14.96,11.84,10.47,33.87,26.01,22.38,16.67,46.85,160.06,70.07,44.13,60.51
625,7.96,9.65,10.95,12.56,7.32,8.95,10.95,14.07,14.62,12.15,13.16,14.38,63.5,58.84,37.74,101.45,81.71,71.69,72.01,66.3,64.3,14.21,61.27,106.92,89,82.59,431,19.56,18.10,14.27,11.12,9.73,40.75,36.47,23.07,16.88,38.16,158.19,66.84,50.20,65.23
630,7.02,8.4,9.51,10.93,6.41,7.74,10.76,14.2,14.72,10.52,12.26,14.71,55.46,53.84,33.11,103.65,82.08,71.97,88.19,71.43,64.04,14.01,55.15,101.54,83.67,77.6,427,18.76,17.34,13.48,10.38,9.00,35.59,51.10,23.51,16.93,32.47,153.69,57.61,40.80,57.86
635,6.2,7.32,8.27,9.52,5.63,6.69,10.42,14.16,14.55,4.43,5.11,6.46,47.97,49.43,29.04,100.3,79.98,69.81,20.07,15.74,13.79,5.99,12.95,95.2,78.26,72.47,420,17.82,16.47,12.62,9.65,8.27,21.59,62.69,23.71,16.85,28.37,147.40,53.03,37.91,56.20
640,5.42,6.31,7.11,8.18,4.9,5.71,10.11,14.13,14.4,1.95,2.07,2.57,41.39,45.54,25.29,97.89,78.15,68.05,13.1,10.22,9.06,2.68,8.93,89.34,73.19,68.34,410,16.78,15.51,11.71,8.91,7.57,11.11,52.07,23.67,16.62,25.37,140.60,49.85,36.71,54.32
645,4.73,5.43,6.09,7.01,4.26,4.87,10.04,14.34,14.58,2.19,2.34,2.75,35.5,41.53,22.1,96.59,76.52,66.66,12.92,10.68,9.83,3.14,9.77,82.95,67.61,63.82,399,15.66,14.49,10.78,8.19,6.90,7.27,28.62,23.35,16.23,22.98,134.92,48.16,38.30,56.34
650,4.15,4.68,5.22,6,3.72,4.16,10.02,14.5,14.88,3.19,3.58,4.18,30.32,38.31,19.31,106.21,79.2,69.7,24.54,20.32,18.6,6.25,17.12,75.78,61.42,58.57,385,14.49,13.42,9.85,7.51,6.25,5.58,15.50,22.81,15.72,20.38,127.59,42.76,31.24,45.74
655,3.64,4.02,4.45,5.11,3.25,3.55,10.11,14.46,15.51,2.77,3.01,3.44,25.79,34.62,16.84,109.97,79.51,70.37,15.94,14.13,13.38,5.78,13.01,68.65,55.49,53.18,370,13.31,12.33,8.93,6.86,5.65,4.64,9.58,22.01,15.07,19.78,124.65,50.64,35.31,50.79
660,3.2,3.45,3.8,4.36,2.83,3.02,9.87,14,15.47,2.29,2.48,2.81,21.84,31.8,14.68,117.49,81.08,72.47,13.56,11.72,10.99,6.75,10.45,61.7,49.78,47.97,352,12.15,11.26,8.04,6.21,5.08,3.98,6.54,21.03,14.31,17.78,118.02,48.42,45.62,56.66
665,2.81,2.96,3.23,3.69,2.49,2.57,8.65,12.58,13.2,2,2.14,2.42,18.53,29.02,12.89,96.04,70.76,62.3,13.38,11.75,10.77,5.16,10.33,55.23,44.46,43.14,336,11.02,10.24,7.20,5.60,4.55,3.48,4.95,19.91,13.45,16.78,113.94,41.27,35.82,51.99
