Wavelength [nm],CIE Standard Illuminant A,CIE Standard Illuminant D65,Illuminant E
617,141.441,88.2688,1
618,142.167,88.0788,1
619,142.893,87.8887,1
620,143.618,87.6987,1
621,144.343,87.2577,1
622,145.067,86.8167,1
623,145.790,86.3757,1
624,146.513,85.9347,1
625,147.235,85.4936,1
626,147.957,85.0526,1
627,148.678,84.6116,1
628,149.398,84.1706,1
629,150.117,83.7296,1
630,150.836,83.2886,1
631,151.554,83.3297,1
632,152.271,83.3707,1
633,152.988,83.4118,1
634,153.704,83.4528,1
635,154.418,83.4939,1
636,155.132,83.5350,1
637,155.845,83.5760,1
638,156.558,83.6171,1
639,157.269,83.6581,1
640,157.979,83.6992,1
641,158.689,83.3320,1
642,159.397,82.9647,1
643,160.104,82.5975,1
644,160.811,82.2302,1
645,161.516,81.8630,1
646,162.221,81.4958,1
647,162.924,81.1285,1
648,163.626,80.7613,1
649,164.327,80.3940,1
650,165.028,80.0268,1
651,165.726,80.0456,1
652,166.424,80.0644,1
653,167.121,80.0831,1
654,167.816,80.1019,1
655,168.510,80.1207,1
656,169.203,80.1395,1
657,169.895,80.1583,1
658,170.586,80.1770,1
659,171.275,80.1958,1
660,171.963,80.2146,1
661,172.650,80.4209,1
662,173.335,80.6272,1
663,174.019,80.8336,1
664,174.702,81.0399,1
665,175.383,81.2462,1
666,176.063,81.4525,1
667,176.741,81.6588,1
668,177.419,81.8652,1
669,178.094,82.0715,1
670,178.769,82.2778,1
671,179.441,81.8784,1
672,180.113,81.4791,1
673,180.783,81.0797,1
674,181.451,80.6804,1
675,182.118,80.2810,1
676,182.783,79.8816,1
677,183.447,79.4823,1
678,184.109,79.0829,1
679,184.770,78.6836,1
680,185.429,78.2842,1
681,186.087,77.4279,1
682,186.743,76.5716,1
683,187.397,75.7153,1
684,188.050,74.8590,1
685,188.701,74.0027,1
686,189.350,73.1465,1
687,189.998,72.2902,1
688,190.644,71.4339,1
689,191.288,70.5776,1
690,191.931,69.7213,1
691,192.572,69.9101,1
692,193.211,70.0989,1
693,193.849,70.2876,1
694,194.484,70.4764,1
695,195.118,70.6652,1
696,195.750,70.8540,1
697,196.381,71.0428,1
698,197.009,71.2315,1
699,197.636,71.4203,1
700,198.261,71.6091,1
701,198.884,71.8831,1
702,199.506,72.1571,1
703,200.125,72.4311,1
704,200.743,72.7051,1
705,201.359,72.9790,1
706,201.972,73.2530,1
707,202.584,73.5270,1
708,203.195,73.8010,1
709,203.803,74.0750,1
710,204.409,74.3490,1
711,205.013,73.0745,1
712,205.616,71.8000,1
713,206.216,70.5255,1
714,206.815,69.2510,1
715,207.411,67.9765,1
716,208.006,66.7020,1
717,208.599,65.4275,1
718,209.189,64.1530,1
719,209.778,62.8785,1
720,210.365,61.6040,1
721,210.949,62.4322,1
722,211.532,63.2603,1
723,212.112,64.0885,1
724,212.691,64.9166,1
725,213.268,65.7448,1
726,213.842,66.5730,1
727,214.415,67.4011,1
728,214.985,68.2293,1
729,215.553,69.0574,1
730,216.120,69.8856,1
731,216.684,70.4057,1
732,217.246,70.9259,1
733,217.806,71.4460,1
734,218.364,71.9662,1
735,218.920,72.4863,1
736,219.473,73.0064,1
737,220.025,73.5266,1
738,220.574,74.0467,1
739,221.122,74.5669,1
740,221.667,75.0870,1
741,222.210,73.9376,1
742,222.751,72.7881,1
743,223.290,71.6387,1
744,223.826,70.4893,1
745,224.361,69.3398,1
746,224.893,68.1904,1
747,225.423,67.0410,1
748,225.951,65.8916,1
749,226.477,64.7421,1
750,227.000,63.5927,1
751,227.522,61.8752,1
752,228.041,60.1578,1
753,228.558,58.4403,1
754,229.073,56.7229,1
755,229.585,55.0054,1
756,230.096,53.2880,1
757,230.604,51.5705,1
758,231.110,49.8531,1
759,231.614,48.1356,1
760,232.115,46.4182,1
761,232.615,48.4569,1
762,233.112,50.4956,1
763,233.606,52.5344,1
764,234.099,54.5731,1
765,234.589,56.6118,1
766,235.078,58.6505,1
767,235.564,60.6892,1
768,236.047,62.7280,1
769,236.529,64.7667,1
770,237.008,66.8054,1
771,237.485,66.4631,1
772,237.959,66.1209,1
773,238.432,65.7786,1
774,238.902,65.4364,1
775,239.370,65.0941,1
776,239.836,64.7518,1
777,240.299,64.4096,1
778,240.760,64.0673,1
779,241.219,63.7251,1
780,241.675,63.3828,1
781,242.130,63.4749,1
782,242.582,63.5670,1
783,243.031,63.6592,1
784,243.479,63.7513,1
785,243.924,63.8434,1
786,244.367,63.9355,1
787,244.808,64.0276,1
788,245.246,64.1198,1
789,245.682,64.2119,1
790,246.116,64.3040,1
791,246.548,63.8188,1
792,246.977,63.3336,1
793,247.404,62.8484,1
794,247.829,62.3632,1
795,248.251,61.8779,1
796,248.671,61.3927,1
797,249.089,60.9075,1
798,249.505,60.4223,1
799,249.918,59.9371,1
800,250.329,59.4519,1
801,250.738,58.7026,1
802,251.144,57.9533,1
803,251.548,57.2040,1
804,251.950,56.4547,1
805,252.350,55.7054,1
806,252.747,54.9562,1
807,253.142,54.2069,1
808,253.535,53.4576,1
809,253.925,52.7083,1
810,254.314,51.9590,1
811,254.700,52.5072,1
812,255.083,53.0553,1
813,255.465,53.6035,1
814,255.844,54.1516,1
815,256.221,54.6998,1
816,256.595,55.2480,1
817,256.968,55.7961,1
818,257.338,56.3443,1
819,257.706,56.8924,1
820,258.071,57.4406,1
821,258.434,57.7278,1
822,258.795,58.0150,1
823,259.154,58.3022,1
824,259.511,58.5894,1
825,259.865,58.8765,1
826,260.217,59.1637,1
827,260.567,59.4509,1
828,260.914,59.7381,1
829,261.259,60.0253,1
830,261.602,60.3125,1
